crop,mandi,min_price,max_price,modal_price,date
Carrot,Chennai,20,27,23,2026-03-20
Carrot,Trichy,18,29,23,2026-03-20
Carrot,Dindigul,18,28,24,2026-03-20
Carrot,Erode,17,28,23,2026-03-20
Beetroot,Coimbatore,15,24,20,2026-03-20
Beetroot,Salem,13,27,19,2026-03-20
Beetroot,Madurai,13,26,18,2026-03-20
Beetroot,Chennai,17,24,20,2026-03-20
Beetroot,Trichy,16,24,19,2026-03-20
Beetroot,Dindigul,18,26,21,2026-03-20
Beetroot,Erode,16,26,21,2026-03-20
Radish,Coimbatore,6,18,12,2026-03-20
Radish,Salem,7,17,11,2026-03-20
Radish,Madurai,10,17,13,2026-03-20
Radish,Chennai,7,16,12,2026-03-20
Radish,Trichy,8,18,11,2026-03-20
Radish,Dindigul,5,15,10,2026-03-20
Radish,Erode,6,17,11,2026-03-20
Cabbage,Coimbatore,9,19,14,2026-03-20
Cabbage,Salem,13,24,16,2026-03-20
Cabbage,Madurai,10,19,14,2026-03-20
Cabbage,Chennai,12,20,16,2026-03-20
Cabbage,Trichy,9,23,15,2026-03-20
Cabbage,Dindigul,12,21,15,2026-03-20
Cabbage,Erode,10,22,14,2026-03-20
